#time,accel_x,accel_y,accel_z
192.199040,2072.576638,-740.205942,-77682.083497
192.201656,1776.494261,-1332.370696,-78294.959896
192.204272,740.205942,-888.247130,-77682.083497
192.206888,-888.247130,-444.123565,-77988.521696
192.209504,1776.494261,-592.164754,-77069.207099
192.212120,1628.453072,-888.247130,-77835.302597
192.214736,1628.453072,-148.041188,-78141.740796
192.217352,592.164754,-296.082377,-78294.959896
192.219968,-592.164754,-444.123565,-77988.521696
192.222412,1036.288319,-1036.288319,-78141.740796
192.224855,2664.741391,-1480.411884,-77682.083497
192.227299,-148.041188,-296.082377,-76915.987999
192.229743,2664.741391,148.041188,-77528.864398
192.232187,1332.370696,-1776.494261,-78448.178995
192.234631,888.247130,-6957.935855,-77528.864398
192.237075,-2368.659014,-4293.194464,-78294.959896
192.239519,1480.411884,-4293.194464,-78601.398095
192.241962,4589.276840,-13471.748144,-78294.959896
192.244406,-296.082377,-11991.336260,-77682.083497
192.246850,-3108.864956,-6069.688724,-79520.712692
192.249294,2072.576638,1184.329507,-77222.426198
192.251738,1776.494261,3552.988522,-78294.959896
192.254182,-2812.782580,2812.782580,-79214.274493
192.256625,-1332.370696,3404.947333,-77682.083497
192.259069,3701.029710,148.041188,-75843.454302
192.261513,1480.411884,2072.576638,-75537.016103
192.263957,-2812.782580,-3701.029710,-78294.959896
192.266401,5181.441594,-1184.329507,-78141.740796
192.268845,5477.523971,4441.235652,-77988.521696
192.271289,3552.988522,8734.430116,-77528.864398
192.273732,1776.494261,3108.864956,-79673.931792
192.276176,7254.018232,2516.700203,-77528.864398
192.278620,-2516.700203,5329.482782,-78754.617194
192.281064,1480.411884,3552.988522,-77528.864398
192.283508,-740.205942,3256.906145,-78448.178995
192.285952,2368.659014,-2516.700203,-76915.987999
192.288396,-1184.329507,1776.494261,-78141.740796
192.290839,740.205942,2960.823768,-79214.274493
192.293283,-148.041188,1776.494261,-78448.178995
192.295727,-1036.288319,1036.288319,-78448.178995
192.298171,-2812.782580,-888.247130,-79367.493593
192.300615,148.041188,2664.741391,-77835.302597
192.303059,2220.617826,2812.782580,-78294.959896
192.305503,2220.617826,1776.494261,-77222.426198
192.307946,1480.411884,2664.741391,-76609.549800
192.310390,-444.123565,1628.453072,-77682.083497
192.312834,740.205942,5773.606348,-76456.330700
192.315278,-2664.741391,11991.336260,-79673.931792
192.317722,888.247130,1628.453072,-79214.274493
192.320226,-2220.617826,-592.164754,-77835.302597
192.322730,3404.947333,1924.535449,-76915.987999
192.325233,1628.453072,-1924.535449,-79367.493593
192.327737,-2812.782580,-2812.782580,-76303.111601
192.330241,3701.029710,296.082377,-77528.864398
192.332745,-888.247130,2072.576638,-78448.178995
192.335249,-148.041188,9770.718434,-75230.577904
192.337753,4293.194464,444.123565,-79214.274493
192.340257,2664.741391,-1332.370696,-78141.740796
192.342761,-2812.782580,-3552.988522,-76915.987999
192.345265,-1036.288319,-6365.771101,-78907.836294
192.347768,1036.288319,-12731.542202,-79214.274493
192.350272,5773.606348,-9918.759623,-75843.454302
192.352776,-2664.741391,-4589.276840,-78294.959896
192.355280,2220.617826,1184.329507,-77988.521696
192.357784,3552.988522,-1184.329507,-78754.617194
192.360288,-1036.288319,740.205942,-77069.207099
192.362792,3997.112087,-1036.288319,-77069.207099
192.365296,-2368.659014,-9918.759623,-79673.931792
192.367799,1332.370696,-8882.471304,-75843.454302
192.370303,3256.906145,-9918.759623,-78601.398095
192.372807,444.123565,-5033.400406,-77682.083497
192.375311,-1184.329507,-2072.576638,-78294.959896
192.377815,3404.947333,-3849.070898,-77528.864398
192.380319,-148.041188,-888.247130,-77069.207099
192.382823,1776.494261,1332.370696,-78141.740796
192.385327,444.123565,-2368.659014,-79214.274493
192.387831,2220.617826,-1480.411884,-77069.207099
192.390334,-740.205942,2812.782580,-78601.398095
192.392838,5181.441594,-1480.411884,-80286.808190
192.395342,-3108.864956,-3256.906145,-77988.521696
192.397846,-1776.494261,-888.247130,-76609.549800
192.400350,1036.288319,-5329.482782,-79367.493593
192.402854,-1036.288319,-9474.636058,-75843.454302
192.405358,-5181.441594,-5921.647536,-77069.207099
192.407862,-5181.441594,-10510.924376,-79980.369991
